Title: Mapping the Diffuse Ultraviolet Sky with GALEX
Authors: Murthy J., Henry R.C., Sujatha N.V.
Table: Diffuse Flux Observed by GALEX
================================================================================
Byte-by-byte Description of file: apj370277t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.2   deg   GLON   Galactic longitude
   8- 13 F6.2   deg   GLAT   Galactic latitude 
  15- 21 F7.2   ---   TFUV   Total FUV band flux (1)
  23- 29 F7.2   ---   TNUV   Total NUV band flux (1)
  31- 37 F7.2   ---   FUV    FUV band flux (1)
  39- 45 F7.2   ---   NUV    NUV band flux (1)
--------------------------------------------------------------------------------
Note (1): In units of ph/cm^2^/s/sr/Angstroms.
--------------------------------------------------------------------------------
260.26 -39.75  648.83 1145.59  461.63  586.74 
173.57  63.73  341.5  1015.46  317.99  310.76 
 75.89  75.51  408.45 1036.97  303.89  359.09 
290.73 -67.09  500.35 1042.35  398.78  473.17 
155.32  51.01  467.53 1146.45  358.51  426.77 
148.66  52.16  421.41 1036.76  310.3   366.89 
106.19  59.96  631.38 1172.48  285.46  391.99 
112.97  57.76  544.15 1106.45  406.28  533.35 
143.61  48.3   507.55 1146.45  341.65  435.83 
143.61  48.3   370.35  921.04  199.99  216.16 
252.77 -51.55  482.72  970.51  356.18  425.08 
119.37  66.2   430.38 1008.15  322.17  389.47 
317.68 -74.76  356.08  931.14  272.65  267.7  
307.37 -73.21  461.24 1025.36  323.13  295.38 
100.65  52.64  509.99 1033.53  336.71  456.26 
100.65  52.64  681.16 1119.78  361.88  394.59 
 40.28  81.65  391.58 1056.98  326.31  341.26 
 98.26  51.39  773.28 1225.39  398.94  442.75 
340.42 -57.44  372.42  999.76  309.33  353.23 
 98.26  51.39  580.38 1093.54  408.02  534.82 
137.62  51.13  428.43 1020.62  281.15  373.01 
162.48  52.53  391.34 1044.5   305.32  300.07 
158.77  48.83  411.07 1102.58  310.07  363.32 
 58.89  66.1   544.76 1036.33  362.32  388.78 
 71.22  70.26  380.17  973.73  302.02  361.95 
 99.19  50.7   753.51 1221.31  365.73  426.51 
 99.19  50.7  1013.14 1429.52  625.02  634.47 
 83.64  78.82  371.51 1008.79  289.9   335.19 
254.98 -40.06  673.47 1098.92  403.3   440.5  
253.67 -44.1   583.8  1012.88  337.18  381.36 
235.41 -51.76  595.21 1229.27  371.35  575.21 
111.01  57.72  475.28 1048.37  335.12  473.56 
327.17 -74.41  605.88 1146.45  342.53  315.66 
 66.35  72.79  536.83 1053.32  403.27  453.7  
148.7   49.09   -1.    957.82   -1.    240.41 
148.7   49.09  335.88  943.62  212.78  314.55 
100.79  50.97  502.67  960.18  340.06  416.75 
102.03  59.76  786.09 1212.06  385.97  381.57 
336.02 -59.84  486.29 1146.88  420.61  496.61 
 85.9   73.58  546.1  1021.48  446.73  377.99 
241.45 -50.88  529.14 1115.7   356.3   474.23 
157.66  49.58  395.3  1069.45  287.82  325.64 
 63.71  67.4   585.02 1134.41  391.83  482.9  
343.79 -58.33  356.62 1026.65  316.11  365.2  
 63.87  42.86  495.1   950.72  285.5   291.58 
