Title: The Mystery of the Cosmic Diffuse Ultraviolet Background Radiation 
Authors: Henry R.C., Murthy J., Overduin J., Tyler J.
Table: The Two Dynamics Explorer FUV Scans (Fix, Craven & Frank 1989)
================================================================================
Byte-by-byte Description of file: apj504185t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units              Label  Explanations
--------------------------------------------------------------------------------
       1 I1     ---                Scan   Scan number
   3-  6 I4     ---                Num    Source number
   8- 13 F6.2   deg                GLON   Galactic longitude
  15- 20 F6.2   deg                GLAT   Galactic latitude
  22- 26 I5     ph/cm/s/sr/0.1nm   Flux   Observed photon flux (1)
  28- 31 I4     ph/cm/s/sr/0.1nm e_Flux   Uncertainty in Flu (1)
--------------------------------------------------------------------------------
Note (1): In "Photon Units" which is photons cm^-2^ s^-1^ sr^-1^ Angstrom^-1^.
--------------------------------------------------------------------------------
1  474  24.48 -61.46   809  222 
1  475  24.95 -61.43   870  227 
1  476  25.43 -61.40  1143  237 
1  477  25.92 -61.36  1112  245 
1  478  26.40 -61.33   870  218 
1  479  26.87 -61.30   657  212 
1  480  27.34 -61.26   567  196 
1  481  27.82 -61.22   598  204 
1  482  28.29 -61.18   508  210 
1  483  28.78 -61.14   536  200 
1  484  29.24 -61.10   809  227 
1  485  29.71 -61.04   719  212 
1  486  30.17 -61.00   961  224 
1  487  30.64 -60.95   930  271 
1  488  31.10 -60.90   114  159 
1  489  31.58 -60.85  1020  233 
1  490  32.04 -60.79   688  206 
1  491  32.50 -60.74   778  212 
1  492  32.96 -60.68   778  212 
1  493  33.40 -60.63   870  235 
1  494  33.86 -60.57   719  220 
1  495  34.33 -60.50   567  196 
1  496  34.77 -60.43   446  202 
1  497  35.22 -60.37   598  204 
1  498  35.67 -60.31   235  175 
1  499  36.11 -60.24   356  186 
1  500  36.57 -60.17   477  194 
1  501  37.01 -60.10   991  328 
1  502  37.45 -60.03   899  224 
1  503  37.89 -59.96   840  220 
1  504  38.32 -59.88  1264  247 
1  505  38.76 -59.81  1051  235 
1  506  39.20 -59.72   719  216 
1  507  39.63 -59.64   809  218 
1  508  40.06 -59.56   961  229 
1  509  40.48 -59.48   809  214 
1  510  40.90 -59.40   657  212 
1  511  41.32 -59.32   809  314 
1  512  41.76 -59.23   899  224 
1  513  42.18 -59.14   899  224 
1  514  42.59 -59.05   598  204 
1  515  43.00 -58.96  1051  243 
1  516  43.41 -58.87   809  214 
1  517  43.82 -58.78   719  212 
1  518  44.23 -58.68   991  247 
1  519  45.44 -58.39  1051  243 
1  520  45.83 -58.29   325  181 
1  521  46.23 -58.19   387  188 
1  522  46.64 -58.09   809  218 
1  523  47.03 -57.99   778  216 
1  524  47.42 -57.89   930  235 
1  525  47.80 -57.78   387  181 
1  526  48.18 -57.68   991  227 
1  527  48.57 -57.57   567  202 
1  528  48.95 -57.45   477  194 
1  529  49.33 -57.34   809  218 
1  530  49.70 -57.23  1416  537 
1  531  50.08 -57.12   961  229 
1  532  50.45 -57.01   901  220 
1  533  50.81 -56.90   629  218 
1  534  51.19 -56.78   446  188 
1  535  51.56 -56.66   143  161 
1  536  52.99 -56.19   870  222 
1  537  53.35 -56.07   778  216 
1  538  53.70 -55.95  1112  243 
1  539  54.04 -55.82   930  227 
1  540  54.39 -55.69   870  218 
1  541  54.73 -55.57  1143  245 
1  542  55.07 -55.44   508  196 
1  543  55.42 -55.31  1293  249 
1  544  55.76 -55.18   930  227 
1  545  56.09 -55.06   901  220 
1  546  56.43 -54.93   778  245 
1  547  56.76 -54.80   719  208 
1  548  57.10 -54.66   536  200 
1  549  57.43 -54.53   508  202 
1  550  57.75 -54.40   629  202 
1  551  58.07 -54.27  1051  235 
1  552  58.39 -54.13   840  249 
1  553  58.70 -53.99   598  204 
1  554  59.03 -53.85   536  194 
1  555  59.34 -53.71   264  171 
1  556  59.65 -53.57   536  200 
1  557  59.96 -53.43   294  175 
1  558  60.27 -53.30   930  222 
1  559  60.57 -53.16  1264  269 
1  560  60.89 -53.01   961  241 
1  561  61.19 -52.87   930  227 
1  562  61.49 -52.73   508  192 
1  563  61.79 -52.58   688  210 
1  564  62.08 -52.44   659  208 
1  565  62.37 -52.29  1174  328 
1  566  62.68 -52.14   629  206 
1  567  62.97 -52.00   659  204 
1  568  63.24 -51.84   809  218 
1  569  63.53 -51.70   811  336 
1  570  63.81 -51.55   598  200 
1  571  64.10 -51.40   932  227 
1  572  65.22 -50.79  1112  239 
1  573  65.49 -50.64  1205  245 
1  574  65.76 -50.49  1354  249 
1  575  66.04 -50.33   809  239 
1  576  66.31 -50.18   991  231 
1  577  66.58 -50.02  1295  346 
1  578  66.84 -49.87  1174  253 
1  579  67.10 -49.71  1203  264 
1  580  67.36 -49.55   961  237 
1  581  67.63 -49.39   749  210 
1  582  67.88 -49.23   719  208 
1  583  68.14 -49.07  1084  237 
1  584  68.39 -48.91  1084  247 
1  585  68.64 -48.75   749  214 
1  586  68.89 -48.59  1143  241 
1  587  69.15 -48.42   719  216 
1  588  69.40 -48.26   932  222 
1  589  69.65 -48.10   749  214 
1  590  69.89 -47.94  1114  243 
1  591  70.14 -47.78  1235  249 
1  592  70.38 -47.62  1416  256 
1  593  70.63 -47.45   993  235 
1  594  70.87 -47.28  1022  237 
1  595  71.10 -47.12  1205  245 
1  596  71.34 -46.95   690  214 
1  597  71.57 -46.79  1143  241 
1  598  71.82 -46.61   963  233 
1  599  72.04 -46.44  1143  326 
1  600  72.27 -46.28   842  216 
1  601  72.49 -46.11   870  239 
1  602  72.72 -45.94   749  214 
1  603  72.95 -45.77  1326  258 
1  604  73.18 -45.60   690  206 
1  605  73.40 -45.43   963  233 
1  606  73.63 -45.26   598  200 
1  607  73.85 -45.09  1022  233 
1  608  74.06 -44.92  1387  251 
1  609  74.28 -44.75  1143  247 
1  610  74.51 -44.57  1053  243 
1  611  74.72 -44.40  1446  264 
1  612  74.94 -44.23  1143  245 
1  613  75.15 -44.05  1174  247 
1  614  75.36 -43.88  1205  247 
1  615  75.57 -43.71   842  220 
1  616  75.79 -43.53  1235  249 
1  617  76.00 -43.35  1053  239 
1  618  76.19 -43.17  1084  233 
1  619  76.40 -43.00  1174  239 
1  620  76.60 -42.82  1477  283 
1  621  76.80 -42.65   901  229 
1  622  77.01 -42.47  1084  241 
1  623  77.22 -42.29   446  188 
1  624  77.41 -42.11  1205  241 
1  625  77.61 -41.94  1053  231 
1  626  77.81 -41.76  1084  237 
1  627  78.01 -41.58  1205  245 
1  628  78.21 -41.40  1477  273 
1  629  78.40 -41.22  1567  271 
1  630  79.55 -40.14   719  212 
1  631  79.74 -39.96  1233  256 
1  632  79.93 -39.78  1205  241 
1  633  80.10 -39.59   932  227 
1  634  80.29 -39.41   901  229 
1  635  80.48 -39.22   417  186 
1  636  80.66 -39.04   598  200 
1  637  80.84 -38.86   963  233 
1  638  81.02 -38.68   870  222 
1  639  81.20 -38.49   598  200 
1  640  81.38 -38.31   629  206 
1  641  81.56 -38.12   780  220 
1  642  81.74 -37.94  1205  332 
1  643  81.92 -37.75  1143  237 
1  644  82.09 -37.57  1053  243 
